Cycle start time,Cycle end time,Cycle timezone,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Skin temp (celsius),Blood oxygen %,Day Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %
2025-02-27 23:39:17,2025-02-28 22:52:44,UTC-05:00,40,54,86,33.30,98.00,10.6,2221,141,69,2025-02-27 23:39:17,2025-02-28 07:59:39,79,16.3,444,497,267,67,110,53,561,70,89,85
2025-02-26 23:25:44,2025-02-27 23:39:17,UTC-05:00,91,52,144,33.10,96.00,12.3,2441,167,71,2025-02-26 23:25:44,2025-02-27 07:30:52,76,16.2,435,485,307,67,61,50,577,100,89,74
2025-02-25 23:29:46,2025-02-26 23:25:44,UTC-05:00,64,52,116,33.60,96.88,8.2,2083,160,67,2025-02-25 23:29:46,2025-02-26 07:29:56,64,16.6,364,480,195,95,74,116,564,88,78,59
2025-02-24 23:07:27,2025-02-25 23:29:46,UTC-05:00,58,56,107,33.50,95.71,7.8,2065,140,69,2025-02-24 23:07:27,2025-02-25 07:28:47,71,16.5,430,501,244,79,107,71,607,113,85,45
2025-02-24 00:01:31,2025-02-24 23:07:27,UTC-05:00,71,51,125,33.26,97.88,13.0,2490,162,73,2025-02-24 00:01:31,2025-02-24 07:29:58,61,15.9,358,448,192,71,95,90,586,114,79,23
2025-02-23 14:36:45,2025-02-24 00:01:31,UTC-05:00,1,68,49,34.56,96.27,4.3,756,141,66,2025-02-23 14:36:45,2025-02-23 19:01:36,52,16.6,251,263,128,54,69,12,480,0,95,7
2025-02-21 23:01:25,2025-02-23 14:36:45,UTC-05:00,57,54,106,33.13,96.93,9.5,2509,144,83,2025-02-21 23:01:25,2025-02-22 10:21:04,100,15.8,589,676,415,72,102,87,508,32,87,67
2025-02-20 23:12:31,2025-02-21 23:01:25,UTC-05:00,50,54,100,33.93,97.06,8.0,2054,147,68,2025-02-20 23:12:31,2025-02-21 07:30:00,88,15.7,459,497,267,79,113,38,523,21,92,96
2025-02-19 23:04:25,2025-02-20 23:12:31,UTC-05:00,51,52,99,33.71,97.12,14.3,2793,163,73,2025-02-19 23:04:25,2025-02-20 07:29:35,91,15.3,454,505,283,82,89,51,497,15,90,85
2025-02-18 22:49:50,2025-02-19 23:04:25,UTC-05:00,62,52,111,33.22,97.15,10.2,2226,182,66,2025-02-18 22:49:50,2025-02-19 07:29:55,94,16.2,473,520,296,92,85,47,504,16,91,74
2025-02-17 22:51:44,2025-02-18 22:49:50,UTC-05:00,69,53,111,33.60,96.25,11.7,2388,165,70,2025-02-17 22:51:44,2025-02-18 07:29:54,94,16.2,480,518,360,60,60,38,514,4,93,59
2025-02-16 22:50:40,2025-02-17 22:51:44,UTC-05:00,98,48,145,33.30,96.54,15.5,2971,169,72,2025-02-16 22:50:40,2025-02-17 07:29:18,99,16.0,476,518,289,91,96,42,483,0,91,45
2025-02-16 00:00:00,2025-02-16 22:50:40,UTC-05:00,,,,,,10.6,1617,201,87,,,,,,,,,,,,,,
